UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Aaron,@IAmAaronWill,2021-03-24T10:49:20.000Z,,Stop normalising obesity.,,80,384,"1,761","['https://pbs.twimg.com/media/ExPTVu1WQAUU9Bb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ExPTVutWQAYugUr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ExPTVwCWgAEPOOm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ExPTVuyXMAU8wkk?format=jpg&name=360x360']",https://twitter.com/IAmAaronWill/status/1374674688094396419
Aaron,@IAmAaronWill,2021-03-19T21:02:11.000Z,,Why society is going downhill,,10,77,314,"['https://pbs.twimg.com/media/Ew3vqW4WEAYYO1S?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ew3vqW8WgAYce6p?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ew3vqW5WEAoP7ox?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ew3vqW_W8AM_EdG?format=jpg&name=360x360']",https://twitter.com/IAmAaronWill/status/1373016976331837445
Aaron,@IAmAaronWill,2021-03-20T05:56:18.000Z,,You are 100% allowed to cut people off who don’t fit the vision,,24,191,730,[],https://twitter.com/IAmAaronWill/status/1373151392781701120
Aaron,@IAmAaronWill,2021-03-20T19:58:52.000Z,,'I don't know why I'm always happy' starter pack.,,5,45,328,"['https://pbs.twimg.com/media/Ew8p-bhWYAAicIN?format=png&name=360x360', 'https://pbs.twimg.com/media/Ew8qEWDXEAMRKiN?format=png&name=360x360', 'https://pbs.twimg.com/media/Ew8qgFfXMAITb8F?format=png&name=360x360', 'https://pbs.twimg.com/media/Ew8qsVeWQAYMWa5?format=png&name=360x360']",https://twitter.com/IAmAaronWill/status/1373363429751328776
Aaron,@IAmAaronWill,2021-03-26T12:01:21.000Z,,The version of you that others create in their mind is not your responsibility.,,17,191,572,[],https://twitter.com/IAmAaronWill/status/1375417588621185024
Aaron,@IAmAaronWill,2021-03-20T11:58:12.000Z,,"If your parents still need to work, work harder.",,18,88,628,[],https://twitter.com/IAmAaronWill/status/1373242467303239681
Aaron,@IAmAaronWill,2021-03-19T09:33:50.000Z,,"When you think you have it hard, think again.",,13,60,285,"['https://pbs.twimg.com/media/Ew1SHP3WgAUVvbr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ew1SHP9WQAEjx_-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ew1SHP2WUAEz5Mq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ew1SHP4W8AEBcbR?format=jpg&name=360x360']",https://twitter.com/IAmAaronWill/status/1372843750041477121
Aaron,@IAmAaronWill,2021-03-23T09:04:14.000Z,,The gym will do more for you than a therapist ever can.,,31,111,641,[],https://twitter.com/IAmAaronWill/status/1374285851904053248
Aaron,@IAmAaronWill,2021-03-26T09:23:44.000Z,,Walk like you have 3000 ancestors behind you.,,16,70,391,[],https://twitter.com/IAmAaronWill/status/1375377921209155584
Aaron,@IAmAaronWill,2021-03-21T11:56:13.000Z,,Entrepreneurship cannot be taught using textbooks.,,17,71,422,[],https://twitter.com/IAmAaronWill/status/1373604356055044097
Aaron,@IAmAaronWill,2021-03-19T12:24:44.000Z,,Don’t let someone who’s never been in your shoes tell you how to tie your laces.,,17,145,568,[],https://twitter.com/IAmAaronWill/status/1372886756467613725
Aaron,@IAmAaronWill,2021-03-22T18:03:14.000Z,,Society will tell you to be yourself then judge you for it.,,19,157,593,[],https://twitter.com/IAmAaronWill/status/1374059105694978052
Aaron,@IAmAaronWill,2021-03-22T08:55:13.000Z,,Everyone will judge you until the money starts coming in.,,19,97,548,[],https://twitter.com/IAmAaronWill/status/1373921194391519233
Aaron,@IAmAaronWill,2021-03-23T19:18:18.000Z,,You’re crazy to everyone who can’t manipulate you.,,9,60,357,[],https://twitter.com/IAmAaronWill/status/1374440385242558467
